"","name","date","hits","geo"
"106","andrew yang",2019-07-28,99,"US-PA"
"107","andrew yang",2019-08-04,52,"US-PA"
"108","andrew yang",2019-08-11,49,"US-PA"
"109","andrew yang",2019-08-18,30,"US-PA"
"110","andrew yang",2019-08-25,36,"US-PA"
"111","andrew yang",2019-09-01,36,"US-PA"
"112","andrew yang",2019-09-08,100,"US-PA"
"113","andrew yang",2019-09-15,56,"US-PA"
"114","andrew yang",2019-09-22,39,"US-PA"
"115","andrew yang",2019-09-29,49,"US-PA"
"116","andrew yang",2019-10-06,25,"US-PA"
"117","andrew yang",2019-10-13,60,"US-PA"
"118","andrew yang",2019-10-20,26,"US-PA"
"119","andrew yang",2019-10-27,26,"US-PA"
"120","andrew yang",2019-11-03,28,"US-PA"
"121","andrew yang",2019-02-03,5,"US-IA"
"122","andrew yang",2019-02-10,21,"US-IA"
"123","andrew yang",2019-02-17,19,"US-IA"
"124","andrew yang",2019-02-24,17,"US-IA"
"125","andrew yang",2019-03-03,24,"US-IA"
"126","andrew yang",2019-03-10,50,"US-IA"
"127","andrew yang",2019-03-17,25,"US-IA"
"128","andrew yang",2019-03-24,12,"US-IA"
"129","andrew yang",2019-03-31,18,"US-IA"
"130","andrew yang",2019-04-07,23,"US-IA"
"131","andrew yang",2019-04-14,31,"US-IA"
"132","andrew yang",2019-04-21,28,"US-IA"
"133","andrew yang",2019-04-28,23,"US-IA"
"134","andrew yang",2019-05-05,11,"US-IA"
"135","andrew yang",2019-05-12,20,"US-IA"
"136","andrew yang",2019-05-19,8,"US-IA"
"137","andrew yang",2019-05-26,9,"US-IA"
"138","andrew yang",2019-06-02,9,"US-IA"
"139","andrew yang",2019-06-09,34,"US-IA"
"140","andrew yang",2019-06-16,19,"US-IA"
"141","andrew yang",2019-06-23,57,"US-IA"
"142","andrew yang",2019-06-30,37,"US-IA"
"143","andrew yang",2019-07-07,12,"US-IA"
"144","andrew yang",2019-07-14,15,"US-IA"
"145","andrew yang",2019-07-21,24,"US-IA"
"146","andrew yang",2019-07-28,66,"US-IA"
"147","andrew yang",2019-08-04,42,"US-IA"
"148","andrew yang",2019-08-11,54,"US-IA"
"149","andrew yang",2019-08-18,40,"US-IA"
"150","andrew yang",2019-08-25,31,"US-IA"
"151","andrew yang",2019-09-01,42,"US-IA"
"152","andrew yang",2019-09-08,74,"US-IA"
"153","andrew yang",2019-09-15,79,"US-IA"
"154","andrew yang",2019-09-22,55,"US-IA"
"155","andrew yang",2019-09-29,42,"US-IA"
"156","andrew yang",2019-10-06,27,"US-IA"
"157","andrew yang",2019-10-13,76,"US-IA"
"158","andrew yang",2019-10-20,22,"US-IA"
"159","andrew yang",2019-10-27,70,"US-IA"
"160","andrew yang",2019-11-03,47,"US-IA"
"161","bernie sanders",2019-02-03,14,"US-PA"
"162","bernie sanders",2019-02-10,7,"US-PA"
"163","bernie sanders",2019-02-17,100,"US-PA"
"164","bernie sanders",2019-02-24,39,"US-PA"
"165","bernie sanders",2019-03-03,28,"US-PA"
"166","bernie sanders",2019-03-10,21,"US-PA"
"167","bernie sanders",2019-03-17,14,"US-PA"
"168","bernie sanders",2019-03-24,13,"US-PA"
"169","bernie sanders",2019-03-31,19,"US-PA"
"170","bernie sanders",2019-04-07,26,"US-PA"
"171","bernie sanders",2019-04-14,49,"US-PA"
"172","bernie sanders",2019-04-21,34,"US-PA"
